Index;Site;Indiv;Altitude;Temp_mean;Temp_onset_bud;Temp_onset_ant;Temp_Peak_bud;Temp_Peak_ant;Dur_ant_days;Dur_ant_month;Bud_max;Ant_max;Immat_max;Mat_max;Sum_Prod_Bud;Sum_Prod_Flower;Sum_Prod_Ant;Sum_Prod_Immat;Sum_Prod_Mat;Number_census;Time_observ;Mean_open_flowers;Total_open_flowers;N_visited_flowers;Number_visits;Total_interactions;Int_pollin
267;High;254;1291;17.19428271;18.69;18.95;18.69107639;18.95186111;31;1;2;1;1;0;3;2;2;3;0;NA;NA;NA;NA;NA;NA;NA;NA
271;High;258;1291;16.32307581;16.99;16.24;16.24230903;16.24230903;122;4;1232;1386;2838;594;1870;1628;2838;2838;704;NA;NA;NA;NA;NA;NA;NA;NA
272;High;259;1291;16.32307581;16.99;16.24;16.24230903;16.24230903;92;3;570;3458;3135;855;912;4142;4142;15333;1235;NA;NA;NA;NA;NA;NA;NA;NA
275;High;260;1291;16.32307581;16.99;16.24;16.24230903;16.24230903;30;1;800;6016;5792;224;896;6016;6016;25344;384;NA;NA;NA;NA;NA;NA;NA;NA
276;High;261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;30;NA;NA;7;3;0.03;3
277;High;262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;30;NA;NA;7;3;0.03;3
278;High;263;1295;NA;16.99;16.24;18.69107639;18.69107639;92;3;3950;4075;9275;2550;10075;8750;9275;27525;4500;47;470;183.75;735;101;29;0.25;29
279;High;263_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;70;120;120;8;3;0.03;3
280;High;264;1294;17.19428271;16.24;18.69;18.69107639;18.95186111;62;2;1440;1672;1392;NA;2816;3016;3016;NA;NA;35;350;86.25;345;6;5;0.04;5
281;High;265;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;110;165;165;23;9;0.08;9
